local,latitude,longitude
Av_Marechal_Deodoro,-16.665998354354308,-49.29214669325374
Av_Dr_Jose_hermano,-16.71627075350629,-49.22222163558209
Av_Neropolis,-16.611229124329977,-49.28313216441791
Av_Rio_Grandde_do_sul,-16.667102589689694,-49.29191572023877
Av_Sergipe,-16.664565705440683,-49.29300130859706
Parque_Campininha_das_Flores,-16.663913095784068,-49.29808072208956
Av_Perimetral,-16.648739295345656,-49.25185007791043
Av_Contorno,-16.6635408,-49.2540276
Rua_4,-16.661308986076463,-49.26584262891034
Rua_Anicuns,-16.675989864283853,-49.320215349074594
Alameda_Monet,-16.65376448461598,-49.28748179325374
Alameda_Modligliane,-16.652649625683843,-49.28655687791042
Alameda_Miro,-16.652080419417686,-49.286220106746256
Alameda_Mondrian,-16.65326687817678,-49.28700480674625
Rua_da_Divisa,-16.62377657125308,-49.33633677791043
Av_Mangalo,-16.61462900786421,-49.320625750925394
Rua_JH_01,-16.629860878643523,-49.343270650925405
Rua_JC_22,-16.61091574299352,-49.33724505092541
Rua_VF_74,-16.62822166015869,-49.32145566297634
Rua_VF_82,-16.629488421974894,-49.32426661879706
Av_do_Povo,-16.608708535113784,-49.34072567791042
Rua_VF_96,-16.63128714409616,-49.320185307155334
Av_Dona_Melinha,-16.601021359963184,-49.30955760502047
Rua_Tropical,-16.602855009101706,-49.307639149484565
Av_C,-16.633180617250286,-49.306642179609966
Av_Mauricio_Gomes,-16.720364330172853,-49.31670137646583
Av_Miguel_do_Carmo,-16.723075307869372,-49.33720781878179
Av_Center,-16.747222492345216,-49.33767750715168
Av_Cesar_Lates,-16.721890806783847,-49.32154561879408
Av_Americano_do_Brasil,-16.727342565735057,-49.36983253558208
Rua_JCA_12,-16.756527752415813,-49.352459878315585
Av_Eli_Alves_Forte,-16.74160112111394,-49.37671557646524
Av_Milão,-16.709331118159316,-49.318108284107396
Av_Guarapari,-16.73256016743698,-49.29918407461466
Rua_do_Saveu,-16.732027690648863,-49.30189130345047
Rua_do_Salmão,-16.731995766859242,-49.30126306297298
Rua_da_Raia,-16.73132717318177,-49.29932323743289
Av_T_9,-16.710305952492376,-49.29610310452197
Av_Brasil,-16.743162404307416,-49.2591393341368
Av_Armando_Godoy,-16.681070392145255,-49.31040441879548
Rua_RIT_18,-16.643138499976757,-49.3008315629758
Av_Anhanguera,-16.670249448534022,-49.2976674603051
Av_São_Clemente,-16.658516870357815,-49.2968687764679
Rua_6,-16.66291628665787,-49.28554162873178
Av_Anhanguera1,-16.645332307244455,-49.338156941148775
Av_Castelo_Branco,-16.668013801983157,-49.31858122448322
Estrada_111,-16.6393478292822,-49.3519589494833
Av_Anhanguera2,-16.675147541715255,-49.27963853413909
Alameda_LB_15,-16.676093164930833,-49.324704862974784
Av_José_Inácio_Sobrinho,-16.642700331436796,-49.3147218918117
Rua_Nonato_Mota,-16.71773767977229,-49.24616132208957
Avenida_Feira_de_Santana,-16.73044311593091,-49.2721301494805
Av_Ana_Nunes_de_Morais,-16.724906909803963,-49.27784487646576
Av_Senador_Jose_Rodrigues_de_Moraes_Neto,-16.729718315111068,-49.2759671187939
Rua_Belo_Horizonte,-16.734125882413768,-49.27785609425029
Av_Jose_Leandro_da_Cruz,-16.73335271727593,-49.280615678316174
Av_Padre_Orlando_de_Morais,-16.73634162260429,-49.28632728995778
Rua_Anaca,-16.726889187331697,-49.285722976465
Av_Dona_Terezinha_de_Morais,-16.73111093913185,-49.28320001879391
Av_1_Radial,-16.708247979180012,-49.25454577426721
Av_Areiao,-16.70450973023198,-49.25268296297389
Av_3_Radial,-16.719352057178646,-49.2509322341375
Av_Bela_Vista,-16.727937722249685,-49.26031814762984
Rua_Pintassilgo,-16.725583310163156,-49.22202689180905
Av_Nicolas_Copernico,-16.7269963365997,-49.23415907646568
Rua_Teofilo_Otoni,-16.721043105300883,-49.23280139180918
Rua_27_B,-16.695538482687653,-49.239508389959106
Av_H,-16.707973112166183,-49.23617622135808
Marginal_Botafogo,-16.700432114853335,-49.24453423168519
Av_C_107,-16.70041906562732,-49.29358478463539
Av_T_9_,-16.70541856820434,-49.27695690767128
Av_T_4,-16.71428811225171,-49.266923095198685
Av_T_3,-16.70813151112462,-49.27076892435872
Av_T_8,-16.695761929814996,-49.27519547646671
Av_Anhanguera3,-16.6782159767575,-49.2744574452437
Av_Americano_do_Brasil,-16.705399571808663,-49.25629944763046
Assis_Chateubriand,-16.683799973315647,-49.26044551046845
Rua_87,-16.69045114028136,-49.25816877646696
Av_Independência,-16.663781090427708,-49.259426526525814
Marginal_Cascavel,-16.710478263969943,-49.29552847657453
Rua_6_A,-16.66775691708111,-49.27341771618351
Av_Leste_Oeste,-16.660695403919586,-49.226478580462135
Av_T_31,-16.686771520962935,-49.2887214797
Rua_P_5,-16.67495278901307,-49.27756125645728
Rua_P_6,-16.674279600632666,-49.27761490063642
Rua_P_7,-16.673601271013368,-49.27774364666639
Rua_Belo_Horizonte,-16.625759879656957,-49.22561958996139
Av_Perimetral_Norte,-16.631884549010227,-49.27823939366151
Avenida_Afonso_Pena,-16.619464717290196,-49.252427865873614
Av_Antônio_Barbosa,-16.590659176342033,-49.271693226207006
Rua_da_Divisa1,-16.638949371888938,-49.22326143414016
Av_Venerando_de_Freitas_Borges,-16.649718587803868,-49.23523884763233
Rua_Cel_Virgílio_Xavier,-16.64501660980619,-49.26111013956754
Rua_Diamantina,-16.61130803557868,-49.242860476469254
Av_das_Palmeiras,-16.687312498180265,-49.21769567831774
Avenida_Lincoln,-16.678207799311817,-49.21592606297476
Rua_Cruz_Alta,-16.689402253963355,-49.224706134138515
Rua_Abel_Rodrigues,-16.652537719387006,-49.20446093130891
Alameda_Iracema_Caldas_de_Almeida,-16.655876181020048,-49.21337070530377
Rua_São_Francisco,-16.667039222423785,-49.186413634139264
Praça_Princesa_Isabel,-16.688380437610572,-49.355466976466865
Av_Francisco_A_De_Oliveira,-16.6845034354847,-49.35520044763122
Parque_da_Lagoa,-16.691786918753554,-49.353265470377416
Av_Gabriel_Henrique,-16.70343208441443,-49.34242819844935
Rua_Antonio_Conselheiro,-16.681282705772425,-49.34308654948201
Rua_Monte_Sinai,-16.68209910217902,-49.337056122089564
Rua_Jerusalém,-16.682245553406542,-49.3364258030079
Rua_Catumbi,-16.685117464727774,-49.33763610715364
Rua_Barao_Montezuma,-16.663550462143856,-49.31674318996023
Av_Raposo_Tavares,-16.65846236302614,-49.3162675764679
Rua_Trindade,-16.657926877079937,-49.371752622497866
Av_Aderup,-16.68739472127172,-49.314777818795214
Av_Padre_Benedito_Dias,-16.68365496307781,-49.32609777831787
Rua_Da_Alegria,-16.680376649928238,-49.32271157831795
Av_Macaubas,-16.683391476777594,-49.32339771879546
Rua_Cristovao_Colombo,-16.694464958315777,-49.35857708995923
Av_Gercina_Borges,-16.677829471353913,-49.385949482392036
Rua_Iguapo,-16.685990528096273,-49.32884640715357
Nizia_Floresta,-16.682605325369295,-49.33064237646712
Av_Pedro_Ludovico,-16.70045484693518,-49.33343595878311
Rua_Do_Prado,-16.658078091371117,-49.35861601879621
Rua_Do_Cobre,-16.70163609682808,-49.335319810008045